?x	?label
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid105	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid118	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid127	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid132	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid150	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid155	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid160	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid169	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid177	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid185	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid190	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid211	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid219	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid235	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid243	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid247	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid252	
_:B15fa0cb4X2D84efX2D48daX2Dba0cX2D2f638205c4adgenid93	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000008>	"temporal region"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000034>	"function"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/HEPRO_0000004>	"health procedure"
<http://purl.obolibrary.org/obo/HEPRO_0000005>	"health activity"
<http://purl.obolibrary.org/obo/HEPRO_0000009>	"health provider identifier"
<http://purl.obolibrary.org/obo/HEPRO_0000011>	"health provider role"
<http://purl.obolibrary.org/obo/HEPRO_0000012>	"health provider"
<http://purl.obolibrary.org/obo/HEPRO_0000017>	"pathological condition sub-group name"
<http://purl.obolibrary.org/obo/HEPRO_0000030>	"health procedure specification"
<http://purl.obolibrary.org/obo/HOSO_0000003>	"healthcare service organism specification"
<http://purl.obolibrary.org/obo/HOSO_0000004>	"healthcare facility"
